sentence,label
"A minor is a person who has not reached eighteen years of age.",definition
"A contract is an agreement intended to create legally binding obligations.",definition
"Consideration is something of value exchanged between contracting parties.",definition
"Negligence is the failure to exercise reasonable care under the circumstances.",definition
"Gross negligence is a serious deviation from the standard of ordinary care.",definition
"Intent is the conscious objective to bring about a particular result.",definition
"Recklessness is awareness and disregard of a substantial and unjustifiable risk.",definition
"Possession is control over property with the intent to exercise such control.",definition
"Ownership is the right to use enjoy and dispose of property.",definition
"Property includes movable and immovable things recognized by law.",definition
"A public place is any area accessible to the general public.",definition
"A dwelling is a structure used wholly or partly for human habitation.",definition
"Personal data is information relating to an identifiable natural person.",definition
"Sensitive data is personal data revealing intimate or protected characteristics.",definition
"Processing is any operation performed on personal data.",definition
"A data controller is the entity that determines purposes and means of processing.",definition
"A data processor is the entity that processes data on behalf of a controller.",definition
"A data breach is unauthorized access to or disclosure of protected data.",definition
"Confidential information is information not publicly available and protected by law.",definition
"A trade secret is confidential business information with economic value.",definition
"Bribery is the offering or acceptance of an undue advantage to influence conduct.",definition
"Extortion is obtaining a benefit through threats or coercion.",definition
"Robbery is theft accompanied by force or intimidation.",definition
"Burglary is unlawful entry into a building with intent to commit an offense.",definition
"Forgery is the making or alteration of a document with intent to deceive.",definition
"Fraud is intentional misrepresentation of a material fact to obtain advantage.",definition
"Money laundering is concealing the origin of proceeds derived from crime.",definition
"An accomplice is a person who knowingly assists in committing an offense.",definition
"An attempt is the commencement of execution of an offense without completion.",definition
"Conspiracy is an agreement between two or more persons to commit an offense.",definition
"Self-defense is the use of reasonable force to repel an unlawful attack.",definition
"Duress is acting under an immediate threat of serious harm.",definition
"Immunity is legal protection from prosecution or liability.",definition
"Jurisdiction is the authority of a court to hear and decide a case.",definition
"Venue is the proper geographical location for a legal action.",definition
"Standing is the legal capacity to bring a claim before a court.",definition
"Evidence is material presented to establish facts in dispute.",definition
"Hearsay is an out-of-court statement offered for its truth.",definition
"Privilege is the right to withhold certain information from disclosure.",definition
"Probable cause is a reasonable basis to believe a fact is true.",definition
"Reasonable doubt is doubt based on reason arising from the evidence.",definition
"An arrest is the taking of a person into lawful custody.",definition
"A search is an examination of a person place or thing for evidence.",definition
"A seizure is the taking of property by lawful authority.",definition
"Bail is conditional release of an accused pending trial.",definition
"A conviction is a formal finding of guilt by a court.",definition
"An appeal is a request for review of a judicial decision.",definition
"A judgment is the final determination of rights by a court.",definition
"Damages are monetary compensation awarded for loss or injury.",definition
"Restitution is repayment to a victim for harm caused.",definition
"A fine is a monetary penalty imposed by lawful authority.",definition
"Imprisonment is deprivation of liberty by confinement.",definition
"Bankruptcy is a legal process addressing insolvency.",definition
"Insolvency is inability to pay debts as they fall due.",definition
"A creditor is a person to whom a debt is owed.",definition
"A debtor is a person who owes money to another.",definition
"A lease is a contract granting possession of property for rent.",definition
"Rent is consideration paid for use of property.",definition
"An easement is a nonpossessory right to use another’s land.",definition
"A mortgage is a security interest in property to secure a debt.",definition
"A will is a document disposing of property upon death.",definition
"Testamentary capacity is the legal ability to make a will.",definition
"Intestacy is distribution of property when no valid will exists.",definition
"Heirship is the legal right to inherit property.",definition
"Guardianship is legal authority to care for a minor or incapacitated person.",definition
"Adoption is the legal creation of a parent-child relationship.",definition
"Marriage is a legally recognized union between persons.",definition
"Divorce is the legal dissolution of a marriage.",definition
"Custody is legal authority over the care of a child.",definition
"Visitation is the right of access to a child by a noncustodial parent.",definition
"Alimony is financial support paid by one spouse to another.",definition
"Child support is financial assistance for the care of a child.",definition
"Employment is a contractual relationship between employer and employee.",definition
"An employee is a person who performs work under direction for pay.",definition
"An employer is a person or entity that hires workers.",definition
"Wages are compensation paid for labor or services.",definition
"Overtime is work performed beyond standard working hours.",definition
"A collective agreement is a contract between employers and unions.",definition
"A strike is a collective cessation of work by employees.",definition
"Discrimination is unequal treatment based on prohibited grounds.",definition
"Harassment is unwanted conduct creating a hostile environment.",definition
"Commercial law governs business and trade activities.",definition
"A merchant is a person engaged in commercial transactions.",definition
"A company is a legal entity formed for business purposes.",definition
"Legal personality is the capacity to have rights and obligations.",definition
"Share capital is the total value of shares issued by a company.",definition
"A shareholder is a person owning shares in a company.",definition
"A director is a person managing company affairs.",definition
"Fiduciary duty is an obligation to act in another’s best interest.",definition
"Insolvent liquidation is winding up a company unable to pay debts.",definition
"Competition law regulates market behavior between businesses.",definition
"Consumer law protects buyers of goods and services.",definition
"A warranty is a promise regarding the quality of goods.",definition
"A defect is a flaw rendering a product unsafe or unfit.",definition
"Product liability is responsibility for damage caused by defective products.",definition
"Property law governs ownership and use of property.",definition
"Real property is land and things permanently attached to it.",definition
"Personal property is movable property not classified as real.",definition
"Co-ownership is shared ownership of property by multiple persons.",definition
"Partition is division of co-owned property.",definition
"Adverse possession is acquisition of ownership through long possession.",definition
"Zoning is regulation of land use by public authority.",definition
"Eminent domain is state power to take property for public use.",definition
"Just compensation is payment for property taken by the state.",definition
"Civil law governs relations between private persons.",definition
"Civil liability is responsibility to repair damage caused to others.",definition
"Tort is a civil wrong causing harm to another.",definition
"Duty of care is an obligation to act reasonably to avoid harm.",definition
"Breach is failure to comply with a legal duty.",definition
"Causation is the link between conduct and damage.",definition
"Strict liability is responsibility without proof of fault.",definition
"Constitutional law governs the organization of the state.",definition
"A constitution is the supreme law of a state.",definition
"Fundamental rights are basic rights protected by the constitution.",definition
"Separation of powers divides authority among state branches.",definition
"Judicial review is court power to assess constitutionality of laws.",definition
"Equality before the law is equal treatment of all persons.",definition
"Due process is the requirement of fair legal procedures.",definition
"Freedom of expression is the right to express opinions freely.",definition
"Rule of law is the principle that law governs all persons.",definition
"Administrative law regulates actions of public authorities.",definition
"A regulation is a binding rule issued by executive authority.",definition
"A permit is official authorization to perform an activity.",definition
"A license is legal permission to engage in regulated conduct.",definition
"Public order refers to fundamental societal norms protected by law.",definition
"Good faith is honesty and fairness in legal relations.",definition
"Abuse of rights is exercise of a right in an excessive manner.",definition
"Prescription is loss or acquisition of rights through passage of time.",definition
"Limitation period is the time limit for bringing legal action.",definition
"Force majeure is an unforeseeable event preventing performance.",definition
"Nullity is absence of legal effect of an act.",definition
"Voidability is the ability to invalidate a legal act.",definition
"Legal capacity is ability to hold rights and obligations.",definition
"Natural person is a human individual recognized by law.",definition
"Legal person is an entity recognized as having legal rights.",definition
"Representation is acting on behalf of another person.",definition
"Agency is a relationship where one acts for another.",definition
"Mandate is authority given to perform acts for another.",definition
"Succession is transfer of rights upon death.",definition
"Liability is legal responsibility for one’s actions.",definition
