sentence,law
Whoever intentionally kills another person shall be punished by imprisonment for life,criminal law
The accused has the right to remain silent during police interrogation,criminal law
Any person found guilty of theft shall be liable to a fine or imprisonment,criminal law
Assault causing bodily harm is punishable under the criminal code,criminal law
The prosecution must prove guilt beyond reasonable doubt,criminal law
Forgery of government documents is prohibited and punishable,criminal law
Unauthorized entry into a dwelling constitutes burglary,criminal law
A person driving under the influence shall have their license suspended,criminal law
Attempted fraud carries the same elements as completed fraud,criminal law
Sexual assault victims are entitled to protection orders,criminal law
Conspiracy to commit a crime is itself a separate offense,criminal law
Criminal negligence involves failure to exercise reasonable care,criminal law
Extortion involves obtaining property through threats,criminal law
Money laundering conceals the origins of illegal funds,criminal law
Perjury is giving false testimony under oath,criminal law
Obstruction of justice interferes with legal proceedings,criminal law
Bribery involves offering inducements to influence official actions,criminal law
Embezzlement is misappropriation of entrusted funds,criminal law
Arson involves willful setting of fires to property,criminal law
Kidnapping involves unlawful confinement of a person,criminal law
Blackmail involves threats to reveal damaging information,criminal law
Vandalism involves willful destruction of property,criminal law
Trespass involves unauthorized entry onto property,criminal law
Cybercrime includes hacking and computer fraud,criminal law
Identity theft involves using another's personal information,criminal law
Robbery involves theft with force or intimidation,criminal law
Burglary involves breaking and entering with criminal intent,criminal law
Aggravated assault involves serious bodily injury,criminal law
Manslaughter is unlawful killing without malice aforethought,criminal law
Homicide includes murder and non-negligent killing,criminal law
Accessory to crime involves aiding after commission,criminal law
Principal offender directly commits the criminal act,criminal law
Inchoate crimes include attempt conspiracy and solicitation,criminal law
Solicitation involves encouraging another to commit crime,criminal law
Mitigating circumstances may reduce criminal liability,criminal law
Aggravating circumstances may increase punishment,criminal law
Insanity defense requires proving mental incapacity,criminal law
Self-defense justifies use of force in protection,criminal law
Duress involves committing crime under threat,criminal law
Entrapment occurs when police induce criminal act,criminal law
Statute of limitations sets time limit for prosecution,criminal law
Double jeopardy prevents retrial for same offense,criminal law
Plea bargaining involves negotiated guilty plea,criminal law
Probation allows community supervision instead of prison,criminal law
Parole involves early release under supervision,criminal law
Capital punishment is the death penalty for serious crimes,criminal law
Life imprisonment means incarceration for natural life,criminal law
Indeterminate sentence has variable release date,criminal law
Determinate sentence has fixed release date,criminal law
Suspended sentence postpones incarceration,criminal law
Restitution requires offender to compensate victim,criminal law
Community service requires work for public benefit,criminal law
Fines are monetary penalties imposed by court,criminal law
Forfeiture involves seizure of criminal proceeds,criminal law
Criminal record affects future employment opportunities,criminal law
Expungement removes offenses from criminal record,criminal law
Pardon is executive forgiveness of criminal conviction,criminal law
Commutation reduces severity of criminal sentence,criminal law
Amnesty grants immunity for political offenses,criminal law
Extradition transfers accused to another jurisdiction,criminal law
International criminal law addresses genocide and war crimes,criminal law
Universal jurisdiction allows prosecution of serious crimes anywhere,criminal law
Corporations can be held criminally liable,criminal law
Vicarious liability holds employers responsible for employees,criminal law
Strict liability crimes require no mens rea,criminal law
Mens rea refers to criminal state of mind,criminal law
Actus reus refers to criminal physical act,criminal law
Corpus delicti refers to body of the crime,criminal law
Alibi defense places accused elsewhere during crime,criminal law
Immunity grants protection from prosecution,criminal law
Witness protection ensures safety of cooperating witnesses,criminal law
Criminal conspiracy involves agreement to commit crime,criminal law
Racketeering involves organized criminal enterprise,criminal law
Hate crimes involve bias-motivated offenses,criminal law
Domestic violence involves abuse within relationships,criminal law
Stalking involves repeated unwanted contact,criminal law
Harassment involves unwanted disturbing behavior,criminal law
Defamation involves false damaging statements,criminal law
Wiretapping involves unauthorized electronic surveillance,criminal law
Eavesdropping involves secret listening to conversations,criminal law
Obscenity involves offensive sexual material,criminal law
Prostitution involves exchange of sex for payment,criminal law
Drug trafficking involves distribution of controlled substances,criminal law
Drug possession involves holding illegal substances,criminal law
Prescription fraud involves obtaining drugs illegally,criminal law
Weapons offenses involve illegal firearms,criminal law
Trafficking in persons involves modern slavery,criminal law
Child pornography involves sexual exploitation of minors,criminal law
Animal cruelty involves harm to animals,criminal law
Environmental crimes involve illegal pollution,criminal law
Tax evasion involves fraudulent non-payment,criminal law
Insider trading involves securities fraud,criminal law
Counterfeiting involves imitation of genuine items,criminal law
Piracy involves copyright infringement,criminal law
Contempt of court involves disrespect to judiciary,criminal law
Escape involves unlawful departure from custody,criminal law
Resisting arrest involves obstruction of law enforcement,criminal law
Assault on officer involves attack on law enforcement,criminal law
False reporting involves making untrue statements to police,criminal law
Tampering with evidence involves altering proof,criminal law
Witness intimidation involves threatening testimony,criminal law
Jury tampering involves influencing jurors,criminal law
Bail jumping involves failure to appear in court,criminal law
Probation violation involves breaking release conditions,criminal law
